2026-05-20 13:51:50,725 | INFO | stock_investment_dss.system | Starting StockInvestmentDSS IQN learning curve multiseed launcher.
2026-05-20 13:51:50,725 | INFO | stock_investment_dss.system | Project root: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN
2026-05-20 13:51:50,736 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Created run directory: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN\outputs\runs\2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher
2026-05-20 13:51:50,736 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Run id: 2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher
2026-05-20 13:51:50,736 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seeds: [1, 2, 3, 4, 5]
2026-05-20 13:51:50,737 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Stop on failure: False
2026-05-20 13:51:50,737 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Run summary after: True
2026-05-20 13:51:50,737 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=1
2026-05-20 13:57:14,946 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 1 completed successfully.
2026-05-20 13:57:14,947 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=2
2026-05-20 14:02:36,659 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 2 completed successfully.
2026-05-20 14:02:36,661 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=3
2026-05-20 14:07:48,368 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 3 completed successfully.
2026-05-20 14:07:48,369 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=4
2026-05-20 14:13:02,601 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 4 completed successfully.
2026-05-20 14:13:02,602 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching IQN learning curve run for seed=5
2026-05-20 14:17:53,281 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Seed 5 completed successfully.
2026-05-20 14:17:53,281 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Launching multiseed summary runner.
2026-05-20 14:17:55,194 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Multiseed summary completed successfully.
2026-05-20 14:17:55,194 | INFO | stock_investment_dss.run.2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher | Wrote launcher summary: C:\Users\gurug\Dropbox\DataScience\Speciale\D-IQN-DSS\FinRL_IQN\outputs\runs\2026_05_20_135150_d_iqn_dss_iqn_learning_curve_multiseed_launcher\summary\iqn_learning_curve_multiseed_launcher_summary.json
2026-05-20 14:17:55,194 | INFO | stock_investment_dss.system | StockInvestmentDSS IQN learning curve multiseed launcher completed.
